"Pathway","Bacterium","Value","Map","Pathway_Class"
"Biosynthesis of secondary metabolites","Levilactobacillus brevis NCTC13768",22.09,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Levilactobacillus brevis NCTC13768",10.28,"map01120","Microbial metabolism in diverse environments"
"Purine metabolism","Levilactobacillus brevis NCTC13768",7.49,"map00230","Metabolism; Nucleotide metabolism"
"Pentose and glucuronate interconversions","Levilactobacillus brevis NCTC13768",5.96,"map00040","Metabolism; Carbohydrate metabolism"
"Pyrimidine metabolism","Levilactobacillus brevis NCTC13768",5.27,"map00240","Metabolism; Nucleotide metabolism"
"Pentose phosphate pathway","Levilactobacillus brevis NCTC13768",4.96,"map00030","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Levilactobacillus brevis NCTC13768",3.84,"map00650","Metabolism; Carbohydrate metabolism"
"Terpenoid backbone biosynthesis","Levilactobacillus brevis NCTC13768",2.96,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Ubiquinone and other terpenoid-quinone biosynthesis","Levilactobacillus brevis NCTC13768",2.7,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"O-Antigen nucleotide sugar biosynthesis","Levilactobacillus brevis NCTC13768",2.67,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Drug metabolism - other enzymes","Levilactobacillus brevis NCTC13768",2.63,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Amino sugar and nucleotide sugar metabolism","Levilactobacillus brevis NCTC13768",2.52,"map00520","Metabolism; Carbohydrate metabolism"
"Starch and sucrose metabolism","Levilactobacillus brevis NCTC13768",2.49,"map00500","Metabolism; Carbohydrate metabolism"
"Arginine and proline metabolism","Levilactobacillus brevis NCTC13768",2.46,"map00330","Metabolism; Amino acid metabolism"
"Riboflavin metabolism","Levilactobacillus brevis NCTC13768",2.34,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Carbon fixation pathways in prokaryotes","Levilactobacillus brevis NCTC13768",1.98,"map00720","Metabolism; Energy metabolism"
"Alanine; aspartate and glutamate metabolism","Levilactobacillus brevis NCTC13768",1.96,"map00250","Metabolism; Amino acid metabolism"
"Tryptophan metabolism","Levilactobacillus brevis NCTC13768",1.86,"map00380","Metabolism; Amino acid metabolism"
"Streptomycin biosynthesis","Levilactobacillus brevis NCTC13768",1.86,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Glycolysis / Gluconeogenesis","Levilactobacillus brevis NCTC13768",1.81,"map00010","Metabolism; Carbohydrate metabolism"
"Glycerophospholipid metabolism","Levilactobacillus brevis NCTC13768",1.79,"map00564","Metabolism; Lipid metabolism"
"Nicotinate and nicotinamide metabolism","Levilactobacillus brevis NCTC13768",1.79,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Arginine biosynthesis","Levilactobacillus brevis NCTC13768",1.75,"map00220","Metabolism; Amino acid metabolism"
"Pyruvate metabolism","Levilactobacillus brevis NCTC13768",1.72,"map00620","Metabolism; Carbohydrate metabolism"
"Valine; leucine and isoleucine degradation","Levilactobacillus brevis NCTC13768",1.64,"map00280","Metabolism; Amino acid metabolism"
"Polyketide sugar unit biosynthesis","Levilactobacillus brevis NCTC13768",1.6,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Benzoate degradation","Levilactobacillus brevis NCTC13768",1.58,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Glycerolipid metabolism","Levilactobacillus brevis NCTC13768",1.43,"map00561","Metabolism; Lipid metabolism"
"Porphyrin and chlorophyll metabolism","Levilactobacillus brevis NCTC13768",1.4,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Thiamine metabolism","Levilactobacillus brevis NCTC13768",1.39,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid biosynthesis","Levilactobacillus brevis NCTC13768",1.29,"map00061","Metabolism; Lipid metabolism"
"Galactose metabolism","Levilactobacillus brevis NCTC13768",1.28,"map00052","Metabolism; Carbohydrate metabolism"
"Methane metabolism","Levilactobacillus brevis NCTC13768",1.27,"map00680","Metabolism; Energy metabolism"
"Tyrosine metabolism","Levilactobacillus brevis NCTC13768",1.21,"map00350","Metabolism; Amino acid metabolism"
"Lysine degradation","Levilactobacillus brevis NCTC13768",1.18,"map00310","Metabolism; Amino acid metabolism"
"Fatty acid degradation","Levilactobacillus brevis NCTC13768",1.07,"map00071","Metabolism; Lipid metabolism"
"Pantothenate and CoA biosynthesis","Levilactobacillus brevis NCTC13768",1.07,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Glycine; serine and threonine metabolism","Levilactobacillus brevis NCTC13768",1.02,"map00260","Metabolism; Amino acid metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Levilactobacillus brevis NCTC13768",0.98,"map00400","Metabolism; Amino acid metabolism"
"Fructose and mannose metabolism","Levilactobacillus brevis NCTC13768",0.96,"map00051","Metabolism; Carbohydrate metabolism"
"Phenylalanine metabolism","Levilactobacillus brevis NCTC13768",0.96,"map00360","Metabolism; Amino acid metabolism"
"Isoquinoline alkaloid biosynthesis","Levilactobacillus brevis NCTC13768",0.96,"map00950","Metabolism; Biosynthesis of other secondary metabolites"
"Taurine and hypotaurine metabolism","Levilactobacillus brevis NCTC13768",0.92,"map00430","Metabolism; Metabolism of other amino acids"
"Ascorbate and aldarate metabolism","Levilactobacillus brevis NCTC13768",0.87,"map00053","Metabolism; Carbohydrate metabolism"
"Glycosaminoglycan degradation","Levilactobacillus brevis NCTC13768",0.87,"map00531","Metabolism; Glycan biosynthesis and metabolism"
"Flavone and flavonol biosynthesis","Levilactobacillus brevis NCTC13768",0.87,"map00944","Metabolism; Biosynthesis of other secondary metabolites"
"Biotin metabolism","Levilactobacillus brevis NCTC13768",0.85,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"beta-Alanine metabolism","Levilactobacillus brevis NCTC13768",0.84,"map00410","Metabolism; Metabolism of other amino acids"
"Fatty acid elongation","Levilactobacillus brevis NCTC13768",0.82,"map00062","Metabolism; Lipid metabolism"
"Geraniol degradation","Levilactobacillus brevis NCTC13768",0.82,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Toluene degradation","Levilactobacillus brevis NCTC13768",0.82,"map00623","Metabolism; Xenobiotics biodegradation and metabolism"
"Glyoxylate and dicarboxylate metabolism","Levilactobacillus brevis NCTC13768",0.82,"map00630","Metabolism; Carbohydrate metabolism"
"Caprolactam degradation","Levilactobacillus brevis NCTC13768",0.82,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Nitrogen metabolism","Levilactobacillus brevis NCTC13768",0.81,"map00910","Metabolism; Energy metabolism"
"Aminoacyl-tRNA biosynthesis","Levilactobacillus brevis NCTC13768",0.8,"map00970","Genetic Information Processing; Translation"
"Dioxin degradation","Levilactobacillus brevis NCTC13768",0.76,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Levilactobacillus brevis NCTC13768",0.76,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"Aminobenzoate degradation","Levilactobacillus brevis NCTC13768",0.69,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Styrene degradation","Levilactobacillus brevis NCTC13768",0.69,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"C5-Branched dibasic acid metabolism","Levilactobacillus brevis NCTC13768",0.64,"map00660","Metabolism; Carbohydrate metabolism"
"Cyanoamino acid metabolism","Levilactobacillus brevis NCTC13768",0.63,"map00460","Metabolism; Metabolism of other amino acids"
"Propanoate metabolism","Levilactobacillus brevis NCTC13768",0.62,"map00640","Metabolism; Carbohydrate metabolism"
"Acarbose and validamycin biosynthesis","Levilactobacillus brevis NCTC13768",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Peptidoglycan biosynthesis","Levilactobacillus brevis NCTC13768",0.55,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Oxidative phosphorylation","Levilactobacillus brevis NCTC13768",0.53,"map00190","Metabolism; Energy metabolism"
"Cysteine and methionine metabolism","Levilactobacillus brevis NCTC13768",0.51,"map00270","Metabolism; Amino acid metabolism"
"D-Amino acid metabolism","Levilactobacillus brevis NCTC13768",0.51,"map00470","Metabolism; Metabolism of other amino acids"
"Glutathione metabolism","Levilactobacillus brevis NCTC13768",0.51,"map00480","Metabolism; Metabolism of other amino acids"
"Lipoic acid metabolism","Levilactobacillus brevis NCTC13768",0.5,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"One carbon pool by folate","Levilactobacillus brevis NCTC13768",0.45,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Carbon fixation in photosynthetic organisms","Levilactobacillus brevis NCTC13768",0.44,"map00710","Metabolism; Energy metabolism"
"Biosynthesis of ansamycins","Levilactobacillus brevis NCTC13768",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Citrate cycle (TCA cycle)","Levilactobacillus brevis NCTC13768",0.35,"map00020","Metabolism; Carbohydrate metabolism"
"Neomycin; kanamycin and gentamicin biosynthesis","Levilactobacillus brevis NCTC13768",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"alpha-Linolenic acid metabolism","Levilactobacillus brevis NCTC13768",0.25,"map00592","Metabolism; Lipid metabolism"
"Chloroalkane and chloroalkene degradation","Levilactobacillus brevis NCTC13768",0.25,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","Levilactobacillus brevis NCTC13768",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Levilactobacillus brevis NCTC13768",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450","Levilactobacillus brevis NCTC13768",0.25,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Levilactobacillus brevis NCTC13768",0.25,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of vancomycin group antibiotics","Levilactobacillus brevis NCTC13768",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Lysine biosynthesis","Levilactobacillus brevis NCTC13768",0.18,"map00300","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine biosynthesis","Levilactobacillus brevis NCTC13768",0.16,"map00290","Metabolism; Amino acid metabolism"
"Selenocompound metabolism","Levilactobacillus brevis NCTC13768",0.09,"map00450","Metabolism; Metabolism of other amino acids"
"Inositol phosphate metabolism","Levilactobacillus brevis NCTC13768",0.02,"map00562","Metabolism; Carbohydrate metabolism"
"Zeatin biosynthesis","Levilactobacillus brevis NCTC13768",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Levilactobacillus brevis NCTC13768",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Limosilactobacillus fermentum NBRC 3959",54.94,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Limosilactobacillus fermentum NBRC 3959",30.98,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Limosilactobacillus fermentum NBRC 3959",11.43,"map01120","Microbial metabolism in diverse environments"
"Purine metabolism","Limosilactobacillus fermentum NBRC 3959",6.67,"map00230","Metabolism; Nucleotide metabolism"
"Arginine biosynthesis","Limosilactobacillus fermentum NBRC 3959",3.45,"map00220","Metabolism; Amino acid metabolism"
"Histidine metabolism","Limosilactobacillus fermentum NBRC 3959",3.45,"map00340","Metabolism; Amino acid metabolism"
"Pyrimidine metabolism","Limosilactobacillus fermentum NBRC 3959",3.3,"map00240","Metabolism; Nucleotide metabolism"
"Terpenoid backbone biosynthesis","Limosilactobacillus fermentum NBRC 3959",3.3,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Glycine; serine and threonine metabolism","Limosilactobacillus fermentum NBRC 3959",3.16,"map00260","Metabolism; Amino acid metabolism"
"Cysteine and methionine metabolism","Limosilactobacillus fermentum NBRC 3959",3.06,"map00270","Metabolism; Amino acid metabolism"
"Pentose phosphate pathway","Limosilactobacillus fermentum NBRC 3959",3.01,"map00030","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Limosilactobacillus fermentum NBRC 3959",3,"map00650","Metabolism; Carbohydrate metabolism"
"Riboflavin metabolism","Limosilactobacillus fermentum NBRC 3959",2.95,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Folate biosynthesis","Limosilactobacillus fermentum NBRC 3959",2.41,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"O-Antigen nucleotide sugar biosynthesis","Limosilactobacillus fermentum NBRC 3959",2.38,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Limosilactobacillus fermentum NBRC 3959",2.14,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Limosilactobacillus fermentum NBRC 3959",2.11,"map00400","Metabolism; Amino acid metabolism"
"Pyruvate metabolism","Limosilactobacillus fermentum NBRC 3959",2.09,"map00620","Metabolism; Carbohydrate metabolism"
"Pentose and glucuronate interconversions","Limosilactobacillus fermentum NBRC 3959",2.06,"map00040","Metabolism; Carbohydrate metabolism"
"Galactose metabolism","Limosilactobacillus fermentum NBRC 3959",1.99,"map00052","Metabolism; Carbohydrate metabolism"
"Amino sugar and nucleotide sugar metabolism","Limosilactobacillus fermentum NBRC 3959",1.97,"map00520","Metabolism; Carbohydrate metabolism"
"Tryptophan metabolism","Limosilactobacillus fermentum NBRC 3959",1.86,"map00380","Metabolism; Amino acid metabolism"
"Streptomycin biosynthesis","Limosilactobacillus fermentum NBRC 3959",1.86,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Valine; leucine and isoleucine degradation","Limosilactobacillus fermentum NBRC 3959",1.79,"map00280","Metabolism; Amino acid metabolism"
"D-Amino acid metabolism","Limosilactobacillus fermentum NBRC 3959",1.79,"map00470","Metabolism; Metabolism of other amino acids"
"Thiamine metabolism","Limosilactobacillus fermentum NBRC 3959",1.74,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Alanine; aspartate and glutamate metabolism","Limosilactobacillus fermentum NBRC 3959",1.72,"map00250","Metabolism; Amino acid metabolism"
"Lysine biosynthesis","Limosilactobacillus fermentum NBRC 3959",1.6,"map00300","Metabolism; Amino acid metabolism"
"Polyketide sugar unit biosynthesis","Limosilactobacillus fermentum NBRC 3959",1.6,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Benzoate degradation","Limosilactobacillus fermentum NBRC 3959",1.58,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Starch and sucrose metabolism","Limosilactobacillus fermentum NBRC 3959",1.58,"map00500","Metabolism; Carbohydrate metabolism"
"Glycolysis / Gluconeogenesis","Limosilactobacillus fermentum NBRC 3959",1.32,"map00010","Metabolism; Carbohydrate metabolism"
"Nicotinate and nicotinamide metabolism","Limosilactobacillus fermentum NBRC 3959",1.31,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid biosynthesis","Limosilactobacillus fermentum NBRC 3959",1.29,"map00061","Metabolism; Lipid metabolism"
"Glutathione metabolism","Limosilactobacillus fermentum NBRC 3959",1.27,"map00480","Metabolism; Metabolism of other amino acids"
"Phenylalanine metabolism","Limosilactobacillus fermentum NBRC 3959",1.26,"map00360","Metabolism; Amino acid metabolism"
"Drug metabolism - other enzymes","Limosilactobacillus fermentum NBRC 3959",1.25,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Pantothenate and CoA biosynthesis","Limosilactobacillus fermentum NBRC 3959",1.23,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Arginine and proline metabolism","Limosilactobacillus fermentum NBRC 3959",1.22,"map00330","Metabolism; Amino acid metabolism"
"Lysine degradation","Limosilactobacillus fermentum NBRC 3959",1.18,"map00310","Metabolism; Amino acid metabolism"
"Carbon fixation pathways in prokaryotes","Limosilactobacillus fermentum NBRC 3959",1.18,"map00720","Metabolism; Energy metabolism"
"Valine; leucine and isoleucine biosynthesis","Limosilactobacillus fermentum NBRC 3959",1.17,"map00290","Metabolism; Amino acid metabolism"
"Fatty acid degradation","Limosilactobacillus fermentum NBRC 3959",1.07,"map00071","Metabolism; Lipid metabolism"
"C5-Branched dibasic acid metabolism","Limosilactobacillus fermentum NBRC 3959",1.06,"map00660","Metabolism; Carbohydrate metabolism"
"Novobiocin biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.94,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Biotin metabolism","Limosilactobacillus fermentum NBRC 3959",0.85,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"One carbon pool by folate","Limosilactobacillus fermentum NBRC 3959",0.84,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid elongation","Limosilactobacillus fermentum NBRC 3959",0.82,"map00062","Metabolism; Lipid metabolism"
"Geraniol degradation","Limosilactobacillus fermentum NBRC 3959",0.82,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Toluene degradation","Limosilactobacillus fermentum NBRC 3959",0.82,"map00623","Metabolism; Xenobiotics biodegradation and metabolism"
"Caprolactam degradation","Limosilactobacillus fermentum NBRC 3959",0.82,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Nitrogen metabolism","Limosilactobacillus fermentum NBRC 3959",0.81,"map00910","Metabolism; Energy metabolism"
"Aminoacyl-tRNA biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.8,"map00970","Genetic Information Processing; Translation"
"Peptidoglycan biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.77,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Dioxin degradation","Limosilactobacillus fermentum NBRC 3959",0.76,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Limosilactobacillus fermentum NBRC 3959",0.76,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"Methane metabolism","Limosilactobacillus fermentum NBRC 3959",0.7,"map00680","Metabolism; Energy metabolism"
"Aminobenzoate degradation","Limosilactobacillus fermentum NBRC 3959",0.69,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Styrene degradation","Limosilactobacillus fermentum NBRC 3959",0.69,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"Fructose and mannose metabolism","Limosilactobacillus fermentum NBRC 3959",0.66,"map00051","Metabolism; Carbohydrate metabolism"
"Cyanoamino acid metabolism","Limosilactobacillus fermentum NBRC 3959",0.63,"map00460","Metabolism; Metabolism of other amino acids"
"Propanoate metabolism","Limosilactobacillus fermentum NBRC 3959",0.62,"map00640","Metabolism; Carbohydrate metabolism"
"Acarbose and validamycin biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerolipid metabolism","Limosilactobacillus fermentum NBRC 3959",0.55,"map00561","Metabolism; Lipid metabolism"
"Vitamin B6 metabolism","Limosilactobacillus fermentum NBRC 3959",0.55,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Tyrosine metabolism","Limosilactobacillus fermentum NBRC 3959",0.54,"map00350","Metabolism; Amino acid metabolism"
"Oxidative phosphorylation","Limosilactobacillus fermentum NBRC 3959",0.53,"map00190","Metabolism; Energy metabolism"
"Lipoic acid metabolism","Limosilactobacillus fermentum NBRC 3959",0.5,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Carbon fixation in photosynthetic organisms","Limosilactobacillus fermentum NBRC 3959",0.44,"map00710","Metabolism; Energy metabolism"
"Carbapenem biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Sulfur metabolism","Limosilactobacillus fermentum NBRC 3959",0.39,"map00920","Metabolism; Energy metabolism"
"Biosynthesis of ansamycins","Limosilactobacillus fermentum NBRC 3959",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Citrate cycle (TCA cycle)","Limosilactobacillus fermentum NBRC 3959",0.35,"map00020","Metabolism; Carbohydrate metabolism"
"Selenocompound metabolism","Limosilactobacillus fermentum NBRC 3959",0.31,"map00450","Metabolism; Metabolism of other amino acids"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Monobactam biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.29,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerophospholipid metabolism","Limosilactobacillus fermentum NBRC 3959",0.29,"map00564","Metabolism; Lipid metabolism"
"Neomycin; kanamycin and gentamicin biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"alpha-Linolenic acid metabolism","Limosilactobacillus fermentum NBRC 3959",0.25,"map00592","Metabolism; Lipid metabolism"
"Chloroalkane and chloroalkene degradation","Limosilactobacillus fermentum NBRC 3959",0.25,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","Limosilactobacillus fermentum NBRC 3959",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Limosilactobacillus fermentum NBRC 3959",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450","Limosilactobacillus fermentum NBRC 3959",0.25,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Limosilactobacillus fermentum NBRC 3959",0.25,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of vancomycin group antibiotics","Limosilactobacillus fermentum NBRC 3959",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Taurine and hypotaurine metabolism","Limosilactobacillus fermentum NBRC 3959",0.09,"map00430","Metabolism; Metabolism of other amino acids"
"Glyoxylate and dicarboxylate metabolism","Limosilactobacillus fermentum NBRC 3959",0.09,"map00630","Metabolism; Carbohydrate metabolism"
"Porphyrin and chlorophyll metabolism","Limosilactobacillus fermentum NBRC 3959",0.03,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Inositol phosphate metabolism","Limosilactobacillus fermentum NBRC 3959",0.02,"map00562","Metabolism; Carbohydrate metabolism"
"Zeatin biosynthesis","Limosilactobacillus fermentum NBRC 3959",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Limosilactobacillus fermentum NBRC 3959",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Limosilactobacillus mucosae LM011",52.51,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Limosilactobacillus mucosae LM011",25.41,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Limosilactobacillus mucosae LM011",9.06,"map01120","Microbial metabolism in diverse environments"
"Purine metabolism","Limosilactobacillus mucosae LM011",6.42,"map00230","Metabolism; Nucleotide metabolism"
"Pyrimidine metabolism","Limosilactobacillus mucosae LM011",4.35,"map00240","Metabolism; Nucleotide metabolism"
"Arginine biosynthesis","Limosilactobacillus mucosae LM011",3.55,"map00220","Metabolism; Amino acid metabolism"
"Histidine metabolism","Limosilactobacillus mucosae LM011",3.45,"map00340","Metabolism; Amino acid metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Limosilactobacillus mucosae LM011",3.12,"map00400","Metabolism; Amino acid metabolism"
"Starch and sucrose metabolism","Limosilactobacillus mucosae LM011",2.81,"map00500","Metabolism; Carbohydrate metabolism"
"Pentose phosphate pathway","Limosilactobacillus mucosae LM011",2.77,"map00030","Metabolism; Carbohydrate metabolism"
"O-Antigen nucleotide sugar biosynthesis","Limosilactobacillus mucosae LM011",2.69,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Nicotinate and nicotinamide metabolism","Limosilactobacillus mucosae LM011",2.6,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Carbon fixation pathways in prokaryotes","Limosilactobacillus mucosae LM011",2.58,"map00720","Metabolism; Energy metabolism"
"Terpenoid backbone biosynthesis","Limosilactobacillus mucosae LM011",2.48,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Cysteine and methionine metabolism","Limosilactobacillus mucosae LM011",2.41,"map00270","Metabolism; Amino acid metabolism"
"Amino sugar and nucleotide sugar metabolism","Limosilactobacillus mucosae LM011",2.38,"map00520","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Limosilactobacillus mucosae LM011",2.36,"map00650","Metabolism; Carbohydrate metabolism"
"Pyruvate metabolism","Limosilactobacillus mucosae LM011",2.31,"map00620","Metabolism; Carbohydrate metabolism"
"Pentose and glucuronate interconversions","Limosilactobacillus mucosae LM011",2.06,"map00040","Metabolism; Carbohydrate metabolism"
"Galactose metabolism","Limosilactobacillus mucosae LM011",1.99,"map00052","Metabolism; Carbohydrate metabolism"
"Tryptophan metabolism","Limosilactobacillus mucosae LM011",1.86,"map00380","Metabolism; Amino acid metabolism"
"Streptomycin biosynthesis","Limosilactobacillus mucosae LM011",1.86,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Fatty acid biosynthesis","Limosilactobacillus mucosae LM011",1.83,"map00061","Metabolism; Lipid metabolism"
"Thiamine metabolism","Limosilactobacillus mucosae LM011",1.74,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Folate biosynthesis","Limosilactobacillus mucosae LM011",1.74,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Alanine; aspartate and glutamate metabolism","Limosilactobacillus mucosae LM011",1.72,"map00250","Metabolism; Amino acid metabolism"
"Glycine; serine and threonine metabolism","Limosilactobacillus mucosae LM011",1.69,"map00260","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine degradation","Limosilactobacillus mucosae LM011",1.64,"map00280","Metabolism; Amino acid metabolism"
"Polyketide sugar unit biosynthesis","Limosilactobacillus mucosae LM011",1.6,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Biotin metabolism","Limosilactobacillus mucosae LM011",1.39,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Glycolysis / Gluconeogenesis","Limosilactobacillus mucosae LM011",1.32,"map00010","Metabolism; Carbohydrate metabolism"
"Glutathione metabolism","Limosilactobacillus mucosae LM011",1.27,"map00480","Metabolism; Metabolism of other amino acids"
"Phenylalanine metabolism","Limosilactobacillus mucosae LM011",1.26,"map00360","Metabolism; Amino acid metabolism"
"Arginine and proline metabolism","Limosilactobacillus mucosae LM011",1.22,"map00330","Metabolism; Amino acid metabolism"
"Drug metabolism - other enzymes","Limosilactobacillus mucosae LM011",1.2,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Lysine degradation","Limosilactobacillus mucosae LM011",1.18,"map00310","Metabolism; Amino acid metabolism"
"Glycerolipid metabolism","Limosilactobacillus mucosae LM011",1.14,"map00561","Metabolism; Lipid metabolism"
"Benzoate degradation","Limosilactobacillus mucosae LM011",1.1,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Fatty acid degradation","Limosilactobacillus mucosae LM011",1.07,"map00071","Metabolism; Lipid metabolism"
"Citrate cycle (TCA cycle)","Limosilactobacillus mucosae LM011",0.95,"map00020","Metabolism; Carbohydrate metabolism"
"D-Amino acid metabolism","Limosilactobacillus mucosae LM011",0.95,"map00470","Metabolism; Metabolism of other amino acids"
"Glyoxylate and dicarboxylate metabolism","Limosilactobacillus mucosae LM011",0.92,"map00630","Metabolism; Carbohydrate metabolism"
"One carbon pool by folate","Limosilactobacillus mucosae LM011",0.84,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid elongation","Limosilactobacillus mucosae LM011",0.82,"map00062","Metabolism; Lipid metabolism"
